tanggal,nama_pasar,item_barang,jumlah,kebutuhan,satuan_item
2024-01-01,Pasar Wado,Beras Premium,1000,400,kg
2024-01-01,Pasar Inpres,Jagung Pipilan Kering,0,0,kg
2024-01-01,Pasar Wado,Beras Medium,400,200,kg
2024-01-01,Pasar Inpres,Kentang,0,0,kg
2024-01-01,Pasar Wado,Gula Pasir,150,65,kg
2024-01-01,Pasar Inpres,Ikan Bandeng Segar,0,0,kg
2024-01-01,Pasar Tanjungsari,Beras Premium,20000,2000,kg
2024-01-01,Pasar Tanjungsari,Beras Medium,22000,4000,kg
2024-01-01,Pasar Inpres,Ikan Tongkol Segar,0,0,kg
2024-01-01,Pasar Tanjungsari,Gula Pasir,8250,2970,kg
2024-01-01,Pasar Wado,Daging Sapi Murni,200,100,kg
2024-01-01,Pasar Inpres,Terigu non Kemasan,5000,410,kg
2024-01-01,Pasar Wado,Daging Ayam Ras,300,250,kg
2024-01-01,Pasar Inpres,Tempe,0,0,Kg
2024-01-01,Pasar Wado,Telur Ayam Ras,250,200,kg
2024-01-01,Pasar Tanjungsari,Daging Sapi Murni,640,560,kg
2024-01-01,Pasar Tanjungsari,Daging Ayam Ras,1100,800,kg
2024-01-01,Pasar Inpres,Tepung Terigu Kemasan,500,100,Kg
2024-01-01,Pasar Tanjungsari,Telur Ayam Ras,1000,450,kg
2024-01-01,Pasar Inpres,tahu,0,0,Kg
2024-01-01,Pasar Wado,Cabe Merah Keriting,40,30,kg
2024-01-01,Pasar Tanjungsari,Cabe Merah Keriting,360,108,kg
2024-01-01,Pasar Inpres,pisang,0,0,Kg
2024-01-01,Pasar Tanjungsari,Cabe Merah Biasa,360,108,kg
2024-01-01,Pasar Wado,Cabe Merah Biasa,10,5,kg
2024-01-01,Pasar Inpres,jeruk,0,0,Kg
2024-01-01,Pasar Wado,Cabe Rawit Merah Domba,61,40,kg
2024-01-01,Pasar Inpres,udang basah ukuran sedang,0,0,Kg
2024-01-01,Pasar Tanjungsari,Cabe Rawit Merah Domba,216,72,kg
2024-01-01,Pasar Tanjungsari,Cabe Rawit Hijau,360,108,kg
2024-01-01,Pasar Tanjungsari,Bawang Merah,720,432,kg
2024-01-01,Pasar Wado,Cabe Rawit Hijau,100,50,kg
2024-01-01,Pasar Tanjungsari,Bawang Putih,720,360,kg
2024-01-01,Pasar Wado,Bawang Putih,80,35,kg
2024-01-01,Pasar Wado,Bawang Merah,150,100,kg
2024-01-01,Pasar Tanjungsari,Garam Beryodium Halus Kemasan,13200,6600,kg
2024-01-01,Pasar Tanjungsari,Kacang Kedelai Impor,2000,200,kg
2024-01-01,Pasar Tanjungsari,Kacang Tanah,1650,825,kg
2024-01-01,Pasar Tanjungsari,Kacang Hijau,1650,825,kg
2024-01-01,Pasar Tanjungsari,Ikan Asin Teri,105,42,kg
2024-01-01,Pasar Tanjungsari,Ikan Kembung,70,63,kg
2024-01-01,Pasar Tanjungsari,Ketela Pohon,320,160,kg
2024-01-01,Pasar Tanjungsari,Ubi Jalar,320,160,kg
2024-01-01,Pasar Wado,Garam Beryodium Halus Kemasan,40,16,kg
2024-01-01,Pasar Tanjungsari,Kentang,1440,720,kg
2024-01-01,Pasar Wado,Kacang Kedelai Impor,10,5,kg
2024-01-01,Pasar Tanjungsari,Ikan Bandeng Segar,70,56,kg
2024-01-01,Pasar Wado,Kacang Tanah,60,20,kg
2024-01-01,Pasar Tanjungsari,Ikan Tongkol Segar,70,63,kg
2024-01-01,Pasar Tanjungsari,Terigu non Kemasan,8250,5775,kg
2024-01-01,Pasar Wado,Kacang Hijau,20,5,kg
2024-01-01,Pasar Tanjungsari,Tempe,330,264,Kg
2024-01-01,Pasar Tanjungsari,tahu,330,264,Kg
2024-01-01,Pasar Tanjungsari,pisang,140,70,Kg
2024-01-01,Pasar Tanjungsari,jeruk,175,105,Kg
2024-01-01,Pasar Tanjungsari,udang basah ukuran sedang,70,63,Kg
2024-01-01,Pasar Wado,Ikan Asin Teri,20,10,kg
2024-01-01,Pasar Wado,Ikan Kembung,5,5,kg
2024-01-01,Pasar Wado,Ketela Pohon,20,5,kg
2024-01-01,Pasar Wado,Ubi Jalar,150,60,kg
2024-01-01,Pasar Wado,Kentang,100,50,kg
2024-01-01,Pasar Wado,Terigu non Kemasan,150,100,kg
2024-01-01,Pasar Wado,Tempe,80,60,Kg
2024-01-01,Pasar Wado,Tepung Terigu Kemasan,150,60,Kg
2024-01-01,Pasar Wado,tahu,20,15,Kg
2024-01-01,Pasar Wado,pisang,5,5,Kg
2024-01-01,Pasar Wado,jeruk,150,70,Kg
2024-01-01,Pasar Wado,udang basah ukuran sedang,5,3,Kg
2024-01-01,Pasar Conggeang,Beras Premium,90,59,kg
2024-01-01,Pasar Conggeang,Beras Medium,100,77,kg
2024-01-01,Pasar Conggeang,Gula Pasir,105,68,kg
2024-01-01,Pasar Conggeang,Daging Sapi Murni,30,12,kg
2024-01-01,Pasar Conggeang,Daging Ayam Ras,100,70,kg
2024-01-01,Pasar Conggeang,Telur Ayam Ras,105,67,kg
2024-01-01,Pasar Conggeang,Cabe Merah Keriting,132,102,kg
2024-01-01,Pasar Conggeang,Cabe Merah Biasa,105,67,kg
2024-01-01,Pasar Conggeang,Cabe Rawit Merah Domba,100,59,kg
2024-01-01,Pasar Conggeang,Cabe Rawit Hijau,106,84,kg
2024-01-01,Pasar Conggeang,Bawang Merah,130,87,kg
2024-01-01,Pasar Conggeang,Bawang Putih,110,67,kg
2024-01-01,Pasar Conggeang,Garam Beryodium Halus Kemasan,105,85,kg
2024-01-01,Pasar Conggeang,Kacang Kedelai Impor,25,9,kg
2024-01-01,Pasar Conggeang,Kacang Tanah,135,80,kg
2024-01-01,Pasar Conggeang,Kacang Hijau,105,78,kg
2024-01-01,Pasar Conggeang,Ikan Asin Teri,45,24,kg
2024-01-01,Pasar Conggeang,Ikan Kembung,38,16,kg
2024-01-01,Pasar Conggeang,Ubi Jalar,122,72,kg
2024-01-01,Pasar Conggeang,Jagung Pipilan Kering,20,11,kg
2024-01-01,Pasar Conggeang,Kentang,132,78,kg
2024-01-01,Pasar Conggeang,Ikan Bandeng Segar,40,29,kg
2024-01-01,Pasar Conggeang,Terigu non Kemasan,135,76,kg
2024-01-01,Pasar Conggeang,Tempe,40,35,Kg
2024-01-01,Pasar Conggeang,Tepung Terigu Kemasan,130,79,Kg
2024-01-01,Pasar Conggeang,tahu,37,31,Kg
2024-01-01,Pasar Conggeang,pisang,35,14,Kg
2024-01-01,Pasar Conggeang,jeruk,133,83,Kg
2024-01-01,Pasar Parakanmuncang,Beras Premium,2400,2200,kg
2024-01-01,Pasar Parakanmuncang,Beras Medium,2300,2100,kg
2024-01-01,Pasar Parakanmuncang,Gula Pasir,1600,1400,kg
2024-01-01,Pasar Parakanmuncang,Daging Sapi Murni,500,430,kg
2024-01-01,Pasar Parakanmuncang,Daging Ayam Ras,2100,1950,kg
2024-01-01,Pasar Parakanmuncang,Telur Ayam Ras,2000,1880,kg
2024-01-01,Pasar Parakanmuncang,Cabe Merah Keriting,290,235,kg
2024-01-01,Pasar Parakanmuncang,Cabe Merah Biasa,300,240,kg
2024-01-01,Pasar Parakanmuncang,Cabe Rawit Merah Domba,540,420,kg
2024-01-01,Pasar Parakanmuncang,Cabe Rawit Hijau,350,300,kg
2024-01-01,Pasar Parakanmuncang,Bawang Merah,600,450,kg
2024-01-01,Pasar Parakanmuncang,Bawang Putih,450,375,kg
2024-01-01,Pasar Parakanmuncang,Garam Beryodium Halus Kemasan,450,350,kg
2024-01-01,Pasar Parakanmuncang,Kacang Kedelai Impor,165,75,kg
2024-01-01,Pasar Parakanmuncang,Kacang Tanah,250,200,kg
2024-01-01,Pasar Parakanmuncang,Kacang Hijau,200,165,kg
2024-01-01,Pasar Parakanmuncang,Ikan Asin Teri,40,35,kg
2024-01-01,Pasar Parakanmuncang,Ikan Kembung,30,27,kg
2024-01-01,Pasar Parakanmuncang,Ketela Pohon,360,320,kg
2024-01-01,Pasar Parakanmuncang,Ubi Jalar,350,320,kg
2024-01-01,Pasar Parakanmuncang,Jagung Pipilan Kering,150,100,kg
2024-01-01,Pasar Parakanmuncang,Kentang,1450,1300,kg
2024-01-01,Pasar Parakanmuncang,Ikan Bandeng Segar,20,17,kg
2024-01-01,Pasar Parakanmuncang,Ikan Tongkol Segar,25,23,kg
2024-01-01,Pasar Parakanmuncang,Terigu non Kemasan,1700,1450,kg
2024-01-01,Pasar Parakanmuncang,Tempe,320,290,Kg
2024-01-01,Pasar Parakanmuncang,tahu,250,200,Kg
2024-01-01,Pasar Parakanmuncang,pisang,250,200,Kg
2024-01-01,Pasar Parakanmuncang,jeruk,350,300,Kg
2024-01-01,Pasar Parakanmuncang,udang basah ukuran sedang,35,30,Kg
2024-01-01,Pasar Darmaraja,Beras Premium,1500,650,kg
2024-01-01,Pasar Darmaraja,Beras Medium,900,450,kg
2024-01-01,Pasar Darmaraja,Gula Pasir,400,325,kg
2024-01-01,Pasar Darmaraja,Daging Sapi Murni,38,25,kg
2024-01-01,Pasar Darmaraja,Daging Ayam Ras,400,350,kg
2024-01-01,Pasar Darmaraja,Telur Ayam Ras,400,360,kg
2024-01-01,Pasar Darmaraja,Cabe Merah Keriting,170,75,kg
2024-01-01,Pasar Darmaraja,Cabe Merah Biasa,25,15,kg
2024-01-01,Pasar Darmaraja,Cabe Rawit Merah Domba,35,26,kg
2024-01-01,Pasar Darmaraja,Cabe Rawit Hijau,115,65,kg
2024-01-01,Pasar Darmaraja,Bawang Merah,195,90,kg
2024-01-01,Pasar Darmaraja,Bawang Putih,185,80,kg
2024-01-01,Pasar Darmaraja,Garam Beryodium Halus Kemasan,32,17,kg
2024-01-01,Pasar Darmaraja,Kacang Kedelai Impor,480,370,kg
2024-01-01,Pasar Darmaraja,Kacang Tanah,40,9,kg
2024-01-01,Pasar Darmaraja,Kacang Hijau,9,3,kg
2024-01-01,Pasar Darmaraja,Ikan Asin Teri,55,25,kg
2024-01-01,Pasar Darmaraja,Ikan Kembung,55,25,kg
2024-01-01,Pasar Darmaraja,Ketela Pohon,15,10,kg
2024-01-01,Pasar Darmaraja,Ubi Jalar,60,20,kg
2024-01-01,Pasar Darmaraja,Kentang,940,380,kg
2024-01-01,Pasar Darmaraja,Terigu non Kemasan,900,525,kg
2024-01-02,Pasar Inpres,Beras Premium,1000,530,kg
2024-01-02,Pasar Inpres,Beras Medium,1000,590,kg
2024-01-02,Pasar Inpres,Gula Pasir,1000,186,kg
2024-01-02,Pasar Inpres,Daging Sapi Murni,1000,800,kg
2024-01-02,Pasar Parakanmuncang,Beras Premium,2450,2250,kg
2024-01-02,Pasar Inpres,Daging Ayam Ras,1500,1200,kg
2024-01-02,Pasar Parakanmuncang,Beras Medium,2300,2150,kg
2024-01-02,Pasar Inpres,Telur Ayam Ras,5000,1300,kg
2024-01-02,Pasar Inpres,Cabe Merah Keriting,300,120,kg
2024-01-02,Pasar Parakanmuncang,Gula Pasir,1650,1300,kg
2024-01-02,Pasar Inpres,Cabe Merah Biasa,300,70,kg
2024-01-02,Pasar Inpres,Cabe Rawit Merah Domba,300,120,kg
2024-01-02,Pasar Inpres,Cabe Rawit Hijau,300,140,kg
2024-01-02,Pasar Parakanmuncang,Daging Sapi Murni,475,425,kg
2024-01-02,Pasar Inpres,Bawang Merah,500,150,kg
2024-01-02,Pasar Parakanmuncang,Daging Ayam Ras,2150,2100,kg
2024-01-02,Pasar Inpres,Bawang Putih,0,0,kg
2024-01-02,Pasar Inpres,Garam Beryodium Halus Kemasan,0,0,kg
2024-01-02,Pasar Parakanmuncang,Bawang Putih,450,350,kg
2024-01-02,Pasar Inpres,Garam Beryodium Halus Kemasan,0,0,kg
2024-01-02,Pasar Inpres,Kacang Kedelai Impor,0,0,kg
2024-01-02,Pasar Inpres,Kacang Tanah,0,0,kg
2024-01-02,Pasar Inpres,Kacang Hijau,0,0,kg
2024-01-02,Pasar Parakanmuncang,Garam Beryodium Halus Kemasan,270,250,kg
2024-01-02,Pasar Inpres,Ikan Asin Teri,0,0,kg
2024-01-02,Pasar Inpres,Ikan Kembung,0,0,kg
2024-01-02,Pasar Parakanmuncang,Kacang Kedelai Impor,150,65,kg
2024-01-02,Pasar Inpres,Ketela Pohon,0,0,kg
2024-01-02,Pasar Inpres,Ubi Jalar,0,0,kg
2024-01-02,Pasar Inpres,Jagung Pipilan Kering,0,0,kg
2024-01-02,Pasar Parakanmuncang,Kacang Tanah,230,195,kg
2024-01-02,Pasar Inpres,Kentang,0,0,kg
2024-01-02,Pasar Parakanmuncang,Kacang Hijau,200,165,kg
2024-01-02,Pasar Inpres,Ikan Bandeng Segar,0,0,kg
2024-01-02,Pasar Parakanmuncang,Ikan Asin Teri,40,34,kg
2024-01-02,Pasar Inpres,Ikan Tongkol Segar,0,0,kg
2024-01-02,Pasar Inpres,Terigu non Kemasan,5000,570,kg
2024-01-02,Pasar Parakanmuncang,Ikan Kembung,30,26,kg
2024-01-02,Pasar Parakanmuncang,Ketela Pohon,400,350,kg
2024-01-02,Pasar Inpres,Tempe,0,0,Kg
2024-01-02,Pasar Inpres,Tepung Terigu Kemasan,500,105,Kg
2024-01-02,Pasar Inpres,pisang,0,0,Kg
2024-01-02,Pasar Parakanmuncang,Ubi Jalar,360,320,kg
2024-01-02,Pasar Inpres,jeruk,0,0,Kg
2024-01-02,Pasar Inpres,udang basah ukuran sedang,0,0,Kg
2024-01-02,Pasar Parakanmuncang,Jagung Pipilan Kering,165,70,kg
2024-01-02,Pasar Parakanmuncang,Kentang,1550,1350,kg
2024-01-02,Pasar Parakanmuncang,Ikan Bandeng Segar,25,20,kg
2024-01-02,Pasar Parakanmuncang,Ikan Tongkol Segar,27,25,kg
2024-01-02,Pasar Parakanmuncang,Terigu non Kemasan,1650,1450,kg
2024-01-02,Pasar Parakanmuncang,Tempe,375,340,Kg
2024-01-02,Pasar Parakanmuncang,tahu,300,260,Kg
2024-01-02,Pasar Parakanmuncang,pisang,250,200,Kg
2024-01-02,Pasar Parakanmuncang,jeruk,350,300,Kg
2024-01-02,Pasar Parakanmuncang,udang basah ukuran sedang,35,30,Kg
2024-01-02,Pasar Parakanmuncang,Bawang Merah,540,460,kg
2024-01-02,Pasar Conggeang,Beras Premium,90,61,kg
2024-01-02,Pasar Parakanmuncang,Telur Ayam Ras,2000,1850,kg
2024-01-02,Pasar Conggeang,Beras Medium,102,79,kg
2024-01-02,Pasar Conggeang,Gula Pasir,103,65,kg
2024-01-02,Pasar Tanjungsari,Beras Premium,20000,2000,kg
2024-01-02,Pasar Tanjungsari,Beras Medium,22000,4000,kg
2024-01-02,Pasar Tanjungsari,Gula Pasir,8250,2970,kg
2024-01-02,Pasar Tanjungsari,Daging Sapi Murni,640,560,kg
2024-01-02,Pasar Tanjungsari,Daging Ayam Ras,1100,800,kg
2024-01-02,Pasar Tanjungsari,Telur Ayam Ras,1000,450,kg
2024-01-02,Pasar Tanjungsari,Cabe Merah Keriting,360,108,kg
2024-01-02,Pasar Tanjungsari,Cabe Merah Biasa,360,108,kg
2024-01-02,Pasar Tanjungsari,Cabe Rawit Merah Domba,216,72,kg
2024-01-02,Pasar Tanjungsari,Cabe Rawit Hijau,360,108,kg
2024-01-02,Pasar Tanjungsari,Bawang Merah,720,432,kg
2024-01-02,Pasar Tanjungsari,Bawang Putih,720,360,kg
2024-01-02,Pasar Conggeang,Daging Sapi Murni,30,13,kg
2024-01-02,Pasar Conggeang,Daging Ayam Ras,100,67,kg
2024-01-02,Pasar Tanjungsari,Garam Beryodium Halus Kemasan,13200,6600,kg
2024-01-02,Pasar Conggeang,Telur Ayam Ras,108,70,kg
2024-01-02,Pasar Tanjungsari,Kacang Kedelai Impor,2000,200,kg
2024-01-02,Pasar Conggeang,Cabe Merah Keriting,130,100,kg
2024-01-02,Pasar Tanjungsari,Kacang Tanah,1650,825,kg
2024-01-02,Pasar Conggeang,Cabe Merah Biasa,102,64,kg
2024-01-02,Pasar Conggeang,Cabe Rawit Merah Domba,103,61,kg
2024-01-02,Pasar Tanjungsari,Kacang Hijau,1650,825,kg
2024-01-02,Pasar Conggeang,Cabe Rawit Hijau,104,80,kg
2024-01-02,Pasar Conggeang,Bawang Merah,127,85,kg
2024-01-02,Pasar Conggeang,Bawang Putih,107,65,kg
2024-01-02,Pasar Tanjungsari,Ikan Asin Teri,105,42,kg
2024-01-02,Pasar Tanjungsari,Ikan Kembung,70,63,kg
2024-01-02,Pasar Conggeang,Garam Beryodium Halus Kemasan,108,87,kg
2024-01-02,Pasar Tanjungsari,Ketela Pohon,320,160,kg
2024-01-02,Pasar Conggeang,Kacang Kedelai Impor,25,12,kg
2024-01-02,Pasar Tanjungsari,Ubi Jalar,320,160,kg
2024-01-02,Pasar Conggeang,Kacang Tanah,132,77,kg
2024-01-02,Pasar Tanjungsari,Kentang,200,45,kg
2024-01-02,Pasar Conggeang,Kacang Hijau,108,81,kg
2024-01-02,Pasar Tanjungsari,Ikan Bandeng Segar,70,56,kg
2024-01-02,Pasar Conggeang,Ikan Asin Teri,40,23,kg
2024-01-02,Pasar Tanjungsari,Ikan Tongkol Segar,70,63,kg
2024-01-02,Pasar Conggeang,Ikan Kembung,36,15,kg
2024-01-02,Pasar Conggeang,Ubi Jalar,123,73,kg
2024-01-02,Pasar Tanjungsari,Terigu non Kemasan,8250,5775,kg
2024-01-02,Pasar Conggeang,Jagung Pipilan Kering,20,12,kg
2024-01-02,Pasar Tanjungsari,Tempe,330,264,Kg
2024-01-02,Pasar Conggeang,Kentang,130,74,kg
2024-01-02,Pasar Tanjungsari,tahu,330,264,Kg
2024-01-02,Pasar Tanjungsari,pisang,140,70,Kg
2024-01-02,Pasar Conggeang,Ikan Bandeng Segar,37,26,kg
2024-01-02,Pasar Conggeang,Terigu non Kemasan,130,73,kg
2024-01-02,Pasar Tanjungsari,jeruk,175,105,Kg
2024-01-02,Pasar Tanjungsari,udang basah ukuran sedang,70,63,Kg
2024-01-02,Pasar Conggeang,Tempe,36,32,Kg
2024-01-02,Pasar Conggeang,Tepung Terigu Kemasan,130,81,Kg
2024-01-02,Pasar Conggeang,tahu,35,30,Kg
2024-01-02,Pasar Conggeang,pisang,35,10,Kg
2024-01-02,Pasar Conggeang,jeruk,133,80,Kg
2024-01-02,Pasar Darmaraja,Beras Premium,1500,650,kg
2024-01-02,Pasar Darmaraja,Beras Medium,900,450,kg
2024-01-02,Pasar Darmaraja,Gula Pasir,400,325,kg
2024-01-02,Pasar Darmaraja,Daging Sapi Murni,38,25,kg
2024-01-02,Pasar Darmaraja,Daging Ayam Ras,400,350,kg
2024-01-02,Pasar Darmaraja,Telur Ayam Ras,400,360,kg
2024-01-02,Pasar Darmaraja,Cabe Merah Keriting,170,75,kg
2024-01-02,Pasar Darmaraja,Cabe Merah Biasa,25,15,kg
2024-01-02,Pasar Darmaraja,Cabe Rawit Merah Domba,35,26,kg
2024-01-02,Pasar Darmaraja,Cabe Rawit Hijau,115,65,kg
2024-01-02,Pasar Darmaraja,Bawang Merah,195,90,kg
2024-01-02,Pasar Darmaraja,Bawang Putih,185,80,kg
2024-01-02,Pasar Darmaraja,Garam Beryodium Halus Kemasan,32,17,kg
2024-01-02,Pasar Darmaraja,Kacang Kedelai Impor,480,370,kg
2024-01-02,Pasar Darmaraja,Kacang Tanah,40,9,kg
2024-01-02,Pasar Darmaraja,Kacang Hijau,9,3,kg
2024-01-02,Pasar Darmaraja,Ikan Asin Teri,55,25,kg
2024-01-02,Pasar Darmaraja,Ikan Kembung,55,25,kg
2024-01-02,Pasar Darmaraja,Ketela Pohon,15,10,kg
2024-01-02,Pasar Darmaraja,Ubi Jalar,60,20,kg
2024-01-02,Pasar Darmaraja,Kentang,940,380,kg
2024-01-02,Pasar Darmaraja,Terigu non Kemasan,900,525,kg
2024-01-02,Pasar Wado,Beras Premium,500,200,kg
2024-01-02,Pasar Wado,Beras Medium,400,200,kg
2024-01-02,Pasar Wado,Gula Pasir,150,65,kg
2024-01-02,Pasar Wado,Daging Sapi Murni,200,100,kg
2024-01-03,Pasar Wado,Daging Ayam Ras,300,250,kg
2024-01-02,Pasar Wado,Telur Ayam Ras,250,200,kg
2024-01-02,Pasar Wado,Cabe Merah Keriting,40,30,kg
2024-01-02,Pasar Wado,Cabe Merah Biasa,5,3,kg
2024-01-02,Pasar Wado,Cabe Rawit Merah Domba,61,40,kg
2024-01-02,Pasar Wado,Cabe Rawit Hijau,100,60,kg
2024-01-02,Pasar Wado,Bawang Merah,150,100,kg
2024-01-02,Pasar Wado,Bawang Putih,80,35,kg
2024-01-02,Pasar Wado,Garam Beryodium Halus Kemasan,40,16,kg
2024-01-02,Pasar Wado,Kacang Kedelai Impor,10,5,kg
2024-01-02,Pasar Wado,Kacang Tanah,60,20,kg
2024-01-02,Pasar Wado,Kacang Hijau,20,10,kg
2024-01-02,Pasar Wado,Ikan Asin Teri,20,10,kg
2024-01-02,Pasar Wado,Ikan Kembung,5,5,kg
2024-01-02,Pasar Wado,Ketela Pohon,10,5,kg
2024-01-02,Pasar Wado,Ubi Jalar,150,70,kg
2024-01-02,Pasar Wado,Kentang,100,50,kg
2024-01-02,Pasar Wado,Terigu non Kemasan,150,100,kg
2024-01-02,Pasar Wado,Tempe,80,60,Kg
2024-01-02,Pasar Wado,Tepung Terigu Kemasan,150,60,Kg
2024-01-02,Pasar Wado,tahu,20,15,Kg
2024-01-02,Pasar Wado,pisang,5,3,Kg
2024-01-02,Pasar Wado,jeruk,150,70,Kg
2024-01-02,Pasar Wado,udang basah ukuran sedang,5,3,Kg
2024-01-02,Pasar Wado,Daging Ayam Ras,300,250,kg
2024-01-02,Pasar Buahdua,Beras Premium,20,15,kg
2024-01-02,Pasar Buahdua,Beras Medium,20,16,kg
2024-01-02,Pasar Buahdua,Gula Pasir,100,60,kg
2024-01-02,Pasar Buahdua,Daging Ayam Ras,200,180,kg
2024-01-02,Pasar Buahdua,Telur Ayam Ras,40,30,kg
2024-01-02,Pasar Buahdua,Cabe Merah Keriting,10,5,kg
2024-01-02,Pasar Buahdua,Cabe Merah Biasa,10,4,kg
2024-01-02,Pasar Buahdua,Cabe Rawit Merah Domba,12,8,kg
2024-01-02,Pasar Buahdua,Cabe Rawit Hijau,12,6,kg
2024-01-02,Pasar Buahdua,Bawang Merah,10,5,kg
2024-01-02,Pasar Buahdua,Bawang Putih,8,4,kg
2024-01-02,Pasar Buahdua,Garam Beryodium Halus Kemasan,40,30,kg
2024-01-02,Pasar Buahdua,Kacang Kedelai Impor,7,2,kg
2024-01-02,Pasar Buahdua,Kacang Tanah,10,8,kg
2024-01-02,Pasar Buahdua,Kacang Hijau,9,5,kg
2024-01-02,Pasar Buahdua,Ubi Jalar,20,15,kg
2024-01-02,Pasar Buahdua,Kentang,40,25,kg
2024-01-02,Pasar Buahdua,Terigu non Kemasan,100,55,kg
2024-01-02,Pasar Buahdua,Tempe,20,6,Kg
2024-01-02,Pasar Buahdua,tahu,20,18,Kg
2024-01-02,Pasar Buahdua,jeruk,20,15,Kg
2024-01-02,Pasar Parakanmuncang,Cabe Rawit Merah Domba,540,430,kg
2024-01-02,Pasar Parakanmuncang,Cabe Rawit Hijau,350,275,kg
2024-01-02,Pasar Parakanmuncang,Cabe Merah Keriting,310,235,kg
2024-01-02,Pasar Parakanmuncang,Cabe Merah Biasa,320,245,kg
2024-01-03,Pasar Parakanmuncang,Beras Premium,2400,2150,kg
2024-01-03,Pasar Parakanmuncang,Beras Medium,2300,2100,kg
2024-01-03,Pasar Parakanmuncang,Gula Pasir,1600,1350,kg
2024-01-03,Pasar Parakanmuncang,Daging Sapi Murni,450,400,kg
2024-01-03,Pasar Parakanmuncang,Daging Ayam Ras,1850,1800,kg
2024-01-03,Pasar Parakanmuncang,Telur Ayam Ras,1800,1700,kg
2024-01-03,Pasar Parakanmuncang,Cabe Merah Keriting,280,230,kg
2024-01-03,Pasar Parakanmuncang,Cabe Merah Biasa,295,245,kg
2024-01-03,Pasar Parakanmuncang,Cabe Rawit Merah Domba,450,370,kg
2024-01-03,Pasar Parakanmuncang,Cabe Rawit Hijau,350,300,kg
2024-01-03,Pasar Parakanmuncang,Bawang Merah,500,420,kg
2024-01-03,Pasar Parakanmuncang,Bawang Putih,450,350,kg
2024-01-03,Pasar Parakanmuncang,Garam Beryodium Halus Kemasan,350,290,kg
2024-01-03,Pasar Parakanmuncang,Kacang Kedelai Impor,150,80,kg
2024-01-03,Pasar Parakanmuncang,Kacang Tanah,230,180,kg
2024-01-03,Pasar Parakanmuncang,Kacang Hijau,200,150,kg
2024-01-03,Pasar Parakanmuncang,Ikan Asin Teri,45,40,kg
2024-01-03,Pasar Parakanmuncang,Ikan Kembung,25,20,kg
2024-01-03,Pasar Parakanmuncang,Ketela Pohon,300,250,kg
2024-01-03,Pasar Parakanmuncang,Ubi Jalar,250,200,kg
2024-01-03,Pasar Parakanmuncang,Jagung Pipilan Kering,150,80,kg
2024-01-03,Pasar Parakanmuncang,Kentang,1600,1300,kg
